comment_id,video_id,video_title,comment,cleaned_comment,processed_comment
139,TcMBFSGVi1c,Avengers Endgame Trailer,WE ARE SO READY FOR THE 5TH of What ever the Rossos meant of it’s not a teaser or trailer..,we are so ready for the th of what ever the rossos meant of its not a teaser or trailer,ready th ever rossos meant not teaser trailer
140,TcMBFSGVi1c,Avengers Endgame Trailer,Anyone today?,anyone today,anyone today
141,TcMBFSGVi1c,Avengers Endgame Trailer,"Who 's here waiting for Avengers Doomsday trailer 
👇🔥💀","who s here waiting for avengers doomsday trailer 
",waiting avenger doomsday trailer
142,TcMBFSGVi1c,Avengers Endgame Trailer,Wait it is just 6 yrs old and we are getting new endgame again 🫨 with tony back,wait it is just  yrs old and we are getting new endgame again  with tony back,wait yr old getting new endgame tony back
143,TcMBFSGVi1c,Avengers Endgame Trailer,It's amazing how they didn't show the fat thor,it is amazing how they did not show the fat thor,amazing not show fat thor
144,TcMBFSGVi1c,Avengers Endgame Trailer,It's been six years already ❤,it is been six years already ,six year already
145,TcMBFSGVi1c,Avengers Endgame Trailer,Anyone today ❤,anyone today ,anyone today
146,TcMBFSGVi1c,Avengers Endgame Trailer,"Anyone today? 

Btw HAPPY SANKRANT🎉","anyone today 

btw happy sankrant",anyone today btw happy sankrant
147,TcMBFSGVi1c,Avengers Endgame Trailer,Recommend this 6 years ago..,recommend this  years ago,recommend year ago
148,TcMBFSGVi1c,Avengers Endgame Trailer,"Who's here after Mbaku, the king of Wakanda?",whos here after mbaku the king of wakanda,who mbaku king wakanda
149,TcMBFSGVi1c,Avengers Endgame Trailer,Rotisserie marvel!,rotisserie marvel,rotisserie marvel
150,TcMBFSGVi1c,Avengers Endgame Trailer,Whos here after berges steelers movie,whos here after berges steelers movie,who berges steelers movie
151,TcMBFSGVi1c,Avengers Endgame Trailer,This trailer sums up how I feel for the Texans playoff game tonight. TEXANS SWARM 🗣 🤘,this trailer sums up how i feel for the texans playoff game tonight texans swarm  ,trailer sum feel texan playoff game tonight texan swarm
152,TcMBFSGVi1c,Avengers Endgame Trailer,1:12 bananas 🥀😭, bananas ,banana
153,TcMBFSGVi1c,Avengers Endgame Trailer,I just got this on my fyp an i thought it was The doomsday trailer.,i just got this on my fyp an i thought it was the doomsday trailer,got fyp thought doomsday trailer
154,TcMBFSGVi1c,Avengers Endgame Trailer,"cant believe 6 years ago, this movie brought the whole world together for a few days.",cant believe  years ago this movie brought the whole world together for a few days,cant believe year ago movie brought whole world together day
